
C:\Users\Zeph\Desktop\platform-tools>python adb_memory_monitor.py
Monitoring memory usage for com.instagram.android

Time             Java Heap     Native Heap       Total PSS
==================================================
[15:48:06] Java: 26.38 MB | Native: 31.16 MB | Total: 189.52 MB
[15:48:07] Java: 23.71 MB | Native: 30.8 MB | Total: 188.23 MB
[15:48:09] Java: 23.68 MB | Native: 30.79 MB | Total: 188.18 MB
[15:48:10] Java: 23.69 MB | Native: 30.79 MB | Total: 188.17 MB
[15:48:12] Java: 23.68 MB | Native: 30.79 MB | Total: 188.16 MB
[15:48:13] Java: 23.69 MB | Native: 30.79 MB | Total: 188.17 MB
[15:48:14] Java: 30.5 MB | Native: 49.11 MB | Total: 277.87 MB
[15:48:16] Java: 49.21 MB | Native: 74.66 MB | Total: 307.69 MB
[15:48:17] Java: 31.23 MB | Native: 83.68 MB | Total: 346.36 MB
[15:48:18] Java: 57.62 MB | Native: 83.61 MB | Total: 407.08 MB
[15:48:20] Java: 67.86 MB | Native: 132.54 MB | Total: 543.86 MB
[15:48:21] Java: 59.14 MB | Native: 128.71 MB | Total: 537.08 MB
[15:48:23] Java: 62.27 MB | Native: 136.14 MB | Total: 552.83 MB
[15:48:24] Java: 59.48 MB | Native: 143.85 MB | Total: 557.95 MB
[15:48:25] Java: 55.42 MB | Native: 133.26 MB | Total: 543.3 MB
[15:48:27] Java: 59.63 MB | Native: 134.27 MB | Total: 553.56 MB
[15:48:28] Java: 53.38 MB | Native: 120.34 MB | Total: 533.63 MB
[15:48:29] Java: 61.09 MB | Native: 122.04 MB | Total: 559.37 MB
[15:48:31] Java: 53.39 MB | Native: 104.65 MB | Total: 534.28 MB
[15:48:32] Java: 53.27 MB | Native: 102.33 MB | Total: 531.84 MB
[15:48:34] Java: 87.61 MB | Native: 107.73 MB | Total: 576.12 MB
[15:48:37] Java: 313.38 MB | Native: 114.01 MB | Total: 831.76 MB
[15:48:40] Java: 285.59 MB | Native: 121.31 MB | Total: 835.89 MB
[15:48:45] Java: 510.41 MB | Native: 170.91 MB | Total: 1118.22 MB
[15:48:49] Java: 527.47 MB | Native: 160.32 MB | Total: 1133.1 MB
[15:48:54] Java: 435.28 MB | Native: 94.88 MB | Total: 979.68 MB
[15:48:59] Java: 527.58 MB | Native: 95.44 MB | Total: 1076.23 MB
[15:49:04] Java: 527.57 MB | Native: 95.07 MB | Total: 1075.94 MB
[15:49:08] Java: 527.49 MB | Native: 95.0 MB | Total: 1077.78 MB
[15:49:13] Java: 527.22 MB | Native: 95.01 MB | Total: 1077.53 MB
[15:49:19] Java: 527.23 MB | Native: 96.95 MB | Total: 1079.59 MB

[15:49:25] Java: N/A MB | Native: N/A MB | Total: N/A MB
[15:49:31] Java: N/A MB | Native: N/A MB | Total: N/A MB
[15:49:38] Java: N/A MB | Native: N/A MB | Total: N/A MB
[15:49:43] Java: N/A MB | Native: N/A MB | Total: N/A MB
[15:49:45] Java: 59.21 MB | Native: 43.34 MB | Total: 317.49 MB
[15:49:46] Java: 43.23 MB | Native: 54.39 MB | Total: 331.42 MB
[15:49:47] Java: 52.25 MB | Native: 60.35 MB | Total: 357.78 MB
[15:49:49] Java: 62.7 MB | Native: 77.77 MB | Total: 404.05 MB
[15:49:50] Java: 49.66 MB | Native: 89.45 MB | Total: 408.07 MB
[15:49:52] Java: 52.3 MB | Native: 90.82 MB | Total: 416.92 MB
[15:49:53] Java: 53.08 MB | Native: 91.76 MB | Total: 419.06 MB
[15:49:55] Java: 48.61 MB | Native: 91.74 MB | Total: 414.58 MB
[15:49:56] Java: 48.63 MB | Native: 96.48 MB | Total: 419.37 MB
[15:49:58] Java: 48.52 MB | Native: 96.46 MB | Total: 419.24 MB
[15:49:59] Java: 48.54 MB | Native: 96.46 MB | Total: 419.26 MB
[15:50:00] Java: 48.54 MB | Native: 96.46 MB | Total: 419.25 MB
[15:50:02] Java: 48.5 MB | Native: 96.46 MB | Total: 419.18 MB
[15:50:03] Java: 48.57 MB | Native: 96.46 MB | Total: 419.21 MB
[15:50:05] Java: 48.52 MB | Native: 96.46 MB | Total: 419.17 MB
[15:50:06] Java: 48.54 MB | Native: 96.46 MB | Total: 419.19 MB
[15:50:07] Java: 48.53 MB | Native: 96.46 MB | Total: 419.18 MB
[15:50:09] Java: 48.51 MB | Native: 96.46 MB | Total: 419.17 MB
[15:50:10] Java: 48.5 MB | Native: 96.46 MB | Total: 419.16 MB
[15:50:12] Java: 48.51 MB | Native: 96.46 MB | Total: 419.16 MB
[15:50:13] Java: 48.54 MB | Native: 96.47 MB | Total: 419.21 MB
[15:50:15] Java: 48.68 MB | Native: 96.48 MB | Total: 419.38 MB
[15:50:16] Java: 48.62 MB | Native: 96.2 MB | Total: 419.05 MB
[15:50:17] Java: 48.55 MB | Native: 96.2 MB | Total: 418.97 MB
[15:50:19] Java: 52.02 MB | Native: 96.5 MB | Total: 423.09 MB
[15:50:20] Java: 48.55 MB | Native: 96.5 MB | Total: 419.61 MB
[15:50:22] Java: 48.6 MB | Native: 96.5 MB | Total: 419.65 MB
[15:50:23] Java: 48.57 MB | Native: 96.5 MB | Total: 419.62 MB
[15:50:25] Java: 57.57 MB | Native: 101.25 MB | Total: 365.42 MB
[15:50:27] Java: 53.63 MB | Native: 95.61 MB | Total: 352.49 MB
[15:50:29] Java: 48.76 MB | Native: 95.46 MB | Total: 347.46 MB
[15:50:31] Java: 52.56 MB | Native: 94.5 MB | Total: 353.21 MB
[15:50:33] Java: 48.71 MB | Native: 94.39 MB | Total: 349.33 MB
[15:50:35] Java: 48.7 MB | Native: 94.39 MB | Total: 349.33 MB
[15:50:36] Java: 48.7 MB | Native: 94.11 MB | Total: 349.0 MB
[15:50:38] Java: 48.7 MB | Native: 94.11 MB | Total: 349.0 MB
[15:50:40] Java: 48.73 MB | Native: 94.06 MB | Total: 348.99 MB
[15:50:42] Java: 48.69 MB | Native: 94.06 MB | Total: 348.94 MB
[15:50:44] Java: 48.68 MB | Native: 94.06 MB | Total: 348.94 MB
[15:50:45] Java: 48.77 MB | Native: 94.05 MB | Total: 348.99 MB
[15:50:47] Java: 48.74 MB | Native: 94.05 MB | Total: 348.96 MB
[15:50:49] Java: 48.8 MB | Native: 94.05 MB | Total: 349.02 MB
[15:50:51] Java: 48.71 MB | Native: 97.08 MB | Total: 351.96 MB
[15:50:53] Java: 48.7 MB | Native: 97.07 MB | Total: 352.16 MB
[15:50:55] Java: 48.73 MB | Native: 97.07 MB | Total: 352.34 MB
[15:50:57] Java: 48.7 MB | Native: 97.06 MB | Total: 352.29 MB
[15:50:59] Java: 48.71 MB | Native: 97.05 MB | Total: 352.28 MB
[15:51:00] Java: 48.91 MB | Native: 97.06 MB | Total: 352.49 MB
[15:51:02] Java: 48.71 MB | Native: 97.06 MB | Total: 352.29 MB
[15:51:04] Java: 48.68 MB | Native: 97.06 MB | Total: 352.26 MB
[15:51:06] Java: 48.7 MB | Native: 97.06 MB | Total: 352.27 MB
[15:51:08] Java: 48.72 MB | Native: 97.06 MB | Total: 352.3 MB
[15:51:10] Java: 48.69 MB | Native: 97.06 MB | Total: 352.27 MB
[15:51:11] Java: 48.68 MB | Native: 97.06 MB | Total: 352.25 MB
[15:51:13] Java: 48.68 MB | Native: 97.06 MB | Total: 352.26 MB
[15:51:15] Java: 48.76 MB | Native: 97.01 MB | Total: 352.28 MB
[15:51:17] Java: 48.74 MB | Native: 97.01 MB | Total: 352.26 MB
[15:51:19] Java: 48.7 MB | Native: 97.01 MB | Total: 352.22 MB
[15:51:21] Java: 48.82 MB | Native: 99.91 MB | Total: 355.23 MB
[15:51:22] Java: 48.73 MB | Native: 99.92 MB | Total: 354.81 MB
[15:51:24] Java: 56.08 MB | Native: 97.37 MB | Total: 391.79 MB
[15:51:25] Java: 51.44 MB | Native: 103.86 MB | Total: 393.65 MB
[15:51:27] Java: 49.17 MB | Native: 103.86 MB | Total: 391.37 MB
[15:51:28] Java: 49.15 MB | Native: 103.86 MB | Total: 391.35 MB
[15:51:29] Java: 49.16 MB | Native: 103.88 MB | Total: 395.39 MB
[15:51:31] Java: 49.08 MB | Native: 103.88 MB | Total: 395.25 MB
[15:51:32] Java: 49.06 MB | Native: 103.88 MB | Total: 395.23 MB
[15:51:34] Java: 49.08 MB | Native: 103.88 MB | Total: 395.25 MB
[15:51:35] Java: 49.06 MB | Native: 103.88 MB | Total: 395.23 MB
[15:51:37] Java: 49.05 MB | Native: 103.88 MB | Total: 395.22 MB
[15:51:38] Java: 49.07 MB | Native: 103.88 MB | Total: 395.24 MB
[15:51:39] Java: 49.06 MB | Native: 103.88 MB | Total: 395.23 MB
[15:51:41] Java: 49.07 MB | Native: 103.88 MB | Total: 395.23 MB
[15:51:42] Java: 49.05 MB | Native: 103.88 MB | Total: 395.22 MB
[15:51:44] Java: 49.07 MB | Native: 103.88 MB | Total: 395.24 MB
[15:51:45] Java: 49.21 MB | Native: 103.9 MB | Total: 395.39 MB
[15:51:47] Java: 49.04 MB | Native: 103.9 MB | Total: 395.22 MB
[15:51:48] Java: 49.05 MB | Native: 103.9 MB | Total: 395.23 MB
[15:51:49] Java: 49.04 MB | Native: 103.9 MB | Total: 395.22 MB
[15:51:51] Java: 49.04 MB | Native: 103.9 MB | Total: 395.23 MB
[15:51:52] Java: 49.03 MB | Native: 103.9 MB | Total: 395.21 MB
[15:51:54] Java: 49.1 MB | Native: 103.9 MB | Total: 395.29 MB
[15:51:56] Java: 51.54 MB | Native: 95.5 MB | Total: 341.81 MB
[15:51:57] Java: 57.6 MB | Native: 97.18 MB | Total: 349.58 MB
[15:51:59] Java: 48.91 MB | Native: 97.04 MB | Total: 340.76 MB
[15:52:01] Java: 56.78 MB | Native: 97.61 MB | Total: 349.22 MB
[15:52:03] Java: 48.86 MB | Native: 97.5 MB | Total: 341.19 MB
[15:52:05] Java: 48.79 MB | Native: 97.5 MB | Total: 341.12 MB
[15:52:07] Java: 48.79 MB | Native: 97.26 MB | Total: 340.84 MB
[15:52:08] Java: 48.8 MB | Native: 97.26 MB | Total: 340.86 MB
[15:52:10] Java: 48.8 MB | Native: 97.26 MB | Total: 340.85 MB
[15:52:12] Java: 48.78 MB | Native: 97.26 MB | Total: 340.83 MB
[15:52:14] Java: 48.79 MB | Native: 97.26 MB | Total: 340.84 MB
[15:52:16] Java: 48.79 MB | Native: 95.85 MB | Total: 339.43 MB
[15:52:18] Java: 48.8 MB | Native: 95.85 MB | Total: 339.44 MB
